car_name,variant,transmission,km_driven,owner_type,fuel_type,registeration,price,region,fair_price,deviation_pct,cluster,cluster_name,manipulated,manipulation_prob,dev_bucket
2020 Honda City,VX CVT PETROL,Automatic,26230,2nd Owner,Petrol,UP-14,1147000,UP,745100.0,0.5393906858139847,0,overpriced,1,1.0,deep_over
2015 HONDA CITY,SV CVT PETROL,Automatic,53566,1st Owner,Petrol,DL-4C,653000,DL,653600.0,-0.0009179926560587516,2,normal,0,0.0,fair
2020 Maruti Baleno,ZETA PETROL 1.2,Manual,26354,2nd Owner,CNG,DL-5C,736000,DL,624600.0,0.17835414665385846,1,underpriced,0,0.0,over
2016 Maruti Swift Dzire,ZXI 1.2 BS IV,Manual,13470,1st Owner,Petrol,DL-5C,509000,DL,707800.0,-0.2808703023452953,1,underpriced,0,0.0,deep_under
2011 Honda City,S MT PETROL,Manual,2,2nd Owner,Petrol,HR-26,315000,HR,569100.0,-0.44649446494464945,1,underpriced,1,1.0,deep_under
2017 Maruti Swift,ZXI,Manual,40183,2nd Owner,Petrol,HR-26,525000,HR,479900.0,0.09397791206501355,1,underpriced,0,0.0,over
2017 Honda City,V MT PETROL,Manual,19038,1st Owner,Petrol,DL-3C,794000,DL,792900.0,0.0013873123975280616,1,underpriced,0,0.0,fair
2019 Tata NEXON,XM 1.2,Manual,50331,2nd Owner,CNG,DL-3C,696000,DL,576125.0,0.2080711651117379,0,overpriced,0,0.0,deep_over
2015 Honda Amaze,1.5L I-DTEC S,Manual,45360,2nd Owner,Diesel,HR-30,366000,HR,901600.0,-0.5940550133096717,1,underpriced,1,1.0,deep_under
2019 HONDA AMAZE,1.2L I-VTEC E,Manual,20752,1st Owner,Petrol,DL-4C,608000,DL,586000.0,0.03754266211604096,1,underpriced,0,0.0,fair
2018 TATA HEXA,Varicor 400 XMA,Automatic,76644,1st Owner,Diesel,DL-7C,980000,DL,1192300.0,-0.17805921328524701,2,normal,0,0.0,under
2014 Honda Amaze,1.2L I-VTEC VX,Manual,39936,1st Owner,Petrol,HR-26,392000,HR,712100.0,-0.4495155174834995,1,underpriced,1,1.0,deep_under
2016 HYUNDAI XCENT,SX 1.2 (O),Manual,84007,2nd Owner,Petrol,DL-3C,447000,DL,419200.0,0.06631679389312978,2,normal,0,0.0,over
2014 Maruti SWIFT,LXI,Manual,31519,1st Owner,Petrol,DL-3C,395000,DL,411500.0,-0.040097205346294046,1,underpriced,0,0.0,fair
2018 Mahindra Thar,CRDE 4X4 AC,Manual,41410,1st Owner,Diesel,HR-26,718000,HR,1155825.0,-0.37879869357385415,1,underpriced,1,1.0,deep_under
2017 HYUNDAI CRETA,1.4 S PLUS,Manual,58830,1st Owner,Diesel,DL-1C,859000,DL,779700.0,0.10170578427600359,2,normal,0,0.0,over
2016 Maruti CIAZ,VXI,Manual,33410,2nd Owner,Petrol,DL-12,566000,DL,524800.0,0.07850609756097561,1,underpriced,0,0.0,over
2020 Maruti XL6,ALPHA MT,Manual,24087,1st Owner,Petrol,UP-32,1006000,UP,695800.0,0.44581776372520837,0,overpriced,1,1.0,deep_over
2019 Honda City,SV MT PETROL,Manual,28673,1st Owner,Petrol,DL-11,854000,DL,611225.0,0.3971941592703178,0,overpriced,1,1.0,deep_over
2021 Toyota URBAN CRUISER,HIGH AT,Automatic,30448,1st Owner,Petrol,DL-8C,1064000,DL,791700.0,0.34394341290893016,0,overpriced,1,1.0,deep_over
2020 Hyundai NEW SANTRO,ERA EXECUTIVE,Manual,39364,1st Owner,Petrol,DL-11,456200,DL,596320.0,-0.23497451033002414,1,underpriced,0,0.0,deep_under
2013 Honda Brio,S MT,Manual,26233,1st Owner,Petrol,DL-13,296000,DL,520500.0,-0.4313160422670509,1,underpriced,1,1.0,deep_under
2020 Renault TRIBER,RXZ AT,Automatic,8756,1st Owner,Petrol,UP-32,729000,UP,1052100.0,-0.30710008554319934,1,underpriced,1,1.0,deep_under
2019 Maruti VITARA BREZZA,VDI,Manual,81027,1st Owner,Diesel,DL-1C,739000,DL,782200.0,-0.0552288417284582,2,normal,0,0.0,under
2016 Maruti ALTO K10,LXI CNG,Manual,91884,1st Owner,CNG,HR-26,318000,HR,470400.0,-0.3239795918367347,2,normal,1,1.0,deep_under
