car_name,variant,transmission,km_driven,owner_type,fuel_type,registeration,price
2020 Maruti Baleno,ZETA PETROL 1.2,Manual,"26,354 km",2nd Owner,CNG,DL-5C,"₹7,36,000"
2016 Maruti Swift Dzire,ZXI 1.2 BS IV,Manual,"13,470 km",1st Owner,Petrol,DL-5C,"₹5,09,000"
2011 Honda City,S MT PETROL,Manual,2 km,2nd Owner,Petrol,HR-26,"₹3,15,000"
2017 Maruti Swift,ZXI,Manual,"40,183 km",2nd Owner,Petrol,HR-26,"₹5,25,000"
2017 Honda City,V MT PETROL,Manual,"19,038 km",1st Owner,Petrol,DL-3C,"₹7,94,000"
2019 Tata NEXON,XM 1.2,Manual,"50,331 km",2nd Owner,CNG,DL-3C,"₹6,96,000"
2015 Honda Amaze,1.5L I-DTEC S,Manual,"45,360 km",2nd Owner,Diesel,HR-30,"₹3,66,000"
2019 HONDA AMAZE,1.2L I-VTEC E,Manual,"20,752 km",1st Owner,Petrol,DL-4C,"₹6,08,000"
2018 TATA HEXA,Varicor 400 XMA,Automatic,"76,644 km",1st Owner,Diesel,DL-7C,"₹9,80,000"
2014 Honda Amaze,1.2L I-VTEC VX,Manual,"39,936 km",1st Owner,Petrol,HR-26,"₹3,92,000"
2016 HYUNDAI XCENT,SX 1.2 (O),Manual,"84,007 km",2nd Owner,Petrol,DL-3C,"₹4,47,000"
2014 Maruti SWIFT,LXI,Manual,"31,519 km",1st Owner,Petrol,DL-3C,"₹3,95,000"
2018 Mahindra Thar,CRDE 4X4 AC,Manual,"41,410 km",1st Owner,Diesel,HR-26,"₹7,18,000"
2017 HYUNDAI CRETA,1.4 S PLUS,Manual,"58,830 km",1st Owner,Diesel,DL-1C,"₹8,59,000"
2016 Maruti CIAZ,VXI,Manual,"33,410 km",2nd Owner,Petrol,DL-12,"₹5,66,000"
2020 Maruti XL6,ALPHA MT,Manual,"24,087 km",1st Owner,Petrol,UP-32,"₹10,06,000"
2019 Honda City,SV MT PETROL,Manual,"28,673 km",1st Owner,Petrol,DL-11,"₹8,54,000"
2021 Toyota URBAN CRUISER,HIGH AT,Automatic,"30,448 km",1st Owner,Petrol,DL-8C,"₹10,64,000"
2020 Hyundai NEW SANTRO,ERA EXECUTIVE,Manual,"39,364 km",1st Owner,Petrol,DL-11,"₹4,56,200"
2013 Honda Brio,S MT,Manual,"26,233 km",1st Owner,Petrol,DL-13,"₹2,96,000"
2020 Renault TRIBER,RXZ AT,Automatic,"8,756 km",1st Owner,Petrol,UP-32,"₹7,29,000"
2019 Maruti VITARA BREZZA,VDI,Manual,"81,027 km",1st Owner,Diesel,DL-1C,"₹7,39,000"
2016 Maruti ALTO K10,LXI CNG,Manual,"91,884 km",1st Owner,CNG,HR-26,"₹3,18,000"
2015 Honda City,VX (O) PETROL,Manual,"70,190 km",1st Owner,Petrol,HR-29,"₹6,66,000"
2016 HYUNDAI ELITE I20,MAGNA 1.2,Manual,"33,752 km",1st Owner,Petrol,DL-8C,"₹5,13,000"
2014 Honda Amaze,1.2 EXMT I VTEC,Manual,"77,120 km",1st Owner,Petrol,DL-4C,"₹3,48,000"
2017 Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,"35,022 km",1st Owner,Petrol,DL-8C,"₹4,72,000"
2017 HONDA JAZZ,1.2L I-VTEC V AT,Automatic,"28,608 km",1st Owner,Petrol,DL-12,"₹6,64,000"
2018 HYUNDAI VERNA,1.6 VTVT SX (O) AT,Automatic,"38,660 km",1st Owner,Petrol,DL-1C,"₹9,86,000"
2018 Maruti ALTO K10,VXI,Manual,"50,002 km",1st Owner,Petrol,DL-3C,"₹3,23,000"
2018 Maruti Dzire,VXI,Manual,"53,069 km",1st Owner,Petrol,UP-16,"₹5,47,000"
2019 HONDA AMAZE,1.2L I-VTEC S,Manual,"90,618 km",1st Owner,CNG,DL-3C,"₹6,28,000"
2011 Hyundai Santro Xing,GL PLUS,Manual,"49,322 km",1st Owner,Petrol,DL-3C,"₹2,02,000"
2017 Hyundai Elite i20,SPORTZ 1.2,Manual,"54,124 km",1st Owner,Petrol,DL-12,"₹5,85,000"
2020 Maruti Swift,LXI,Manual,"18,862 km",1st Owner,Petrol,UP-14,"₹5,85,000"
2020 Hyundai Creta,EX 1.5 PETROL,Manual,"45,938 km",1st Owner,Petrol,HR-51,"₹11,09,000"
2019 HYUNDAI CRETA,SX AT 1.6 PETROL,Automatic,"13,948 km",1st Owner,Petrol,UP-14,"₹13,37,000"
2018 Honda City,1.5L I-VTEC V MT,Manual,"38,508 km",1st Owner,Petrol,DL-11,"₹8,25,000"
2018 Renault Kwid,1.0 RXT Opt,Manual,"41,823 km",1st Owner,Petrol,DL-8C,"₹3,58,000"
2018 Renault Duster,RXS CVT 106 PS,Automatic,"74,566 km",2nd Owner,Petrol,DL-3C,"₹6,98,000"
2018 Maruti Baleno,DELTA PETROL 1.2,Manual,"28,078 km",1st Owner,Petrol,UP-16,"₹6,10,000"
2016 Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,1 km,1st Owner,Petrol,DL-10,"₹4,56,000"
2019 Hyundai Elite i20,1.2 SPORTS PLUS VTVT,Manual,"49,538 km",1st Owner,Petrol,DL-11,"₹6,95,000"
2018 Maruti Swift,VXI,Manual,"57,871 km",1st Owner,Petrol,DL-3C,"₹5,33,000"
2021 VOLKSWAGEN POLO,COMFORTLINE 1.0 TSI MT,Manual,"13,703 km",1st Owner,Petrol,DL-7C,"₹8,03,000"
2016 Maruti Baleno,ALPHA PETROL 1.2,Manual,"25,628 km",1st Owner,Petrol,HR-10,"₹5,73,000"
2015 Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,"57,740 km",1st Owner,Petrol,DL-8C,"₹3,89,000"
2022 Maruti Vitara Brezza,VXI,Manual,"4,178 km",1st Owner,Petrol,DL-2C,"₹9,01,000"
2015 Honda City,SV MT PETROL,Manual,"72,662 km",1st Owner,Petrol,UP-14,"₹5,84,000"
2017 Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,"17,815 km",1st Owner,Petrol,DL-9C,"₹4,84,000"
2018 Honda City,V MT PETROL,Manual,"31,912 km",1st Owner,Petrol,DL-10,"₹8,48,000"
2020 SKODA RAPID,1.0 AMBITION TSI MT,Manual,"45,347 km",1st Owner,Petrol,HR-01,"₹8,93,000"
2018 HYUNDAI CRETA,1.6 CRDI SX PLUS AUTO,Automatic,"58,009 km",2nd Owner,Diesel,UP-32,"₹9,77,000"
2017 Hyundai Grand i10,Magna 1.2 AT  VTVT,Automatic,"51,693 km",1st Owner,Petrol,DL-8C,"₹4,75,000"
2016 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"24,035 km",1st Owner,Petrol,DL-8C,"₹4,54,000"
2014 Maruti Wagon R 1.0,LXI,Manual,"33,016 km",2nd Owner,Petrol,DL-7C,"₹2,98,000"
2018 Renault Kwid,1.0 RXT Opt,Manual,"15,030 km",1st Owner,Petrol,DL-3C,"₹3,61,000"
2018 Hyundai Elite i20,ASTA 1.2,Manual,"20,590 km",1st Owner,Petrol,DL-4C,"₹7,12,000"
2018 Maruti CELERIO,VXI CNG,Manual,"49,841 km",1st Owner,CNG,DL-12,"₹4,89,000"
2019 Hyundai Elite i20,1.2 MAGNA PLUS VTVT,Manual,"22,634 km",2nd Owner,Petrol,DL-1C,"₹6,29,000"
2019 KIA SELTOS,GTX 1.4 GDI AT PETROL,Automatic,"13,672 km",1st Owner,Petrol,UP-70,"₹14,41,000"
2016 Honda Jazz,1.2 SV MT,Manual,"51,897 km",1st Owner,Petrol,DL-14,"₹4,61,000"
2019 Maruti Alto K10,LXI CNG,Manual,"65,329 km",1st Owner,CNG,DL-9C,"₹4,01,000"
2010 Maruti SWIFT DZIRE,ZXI 1.3,Manual,"78,054 km",2nd Owner,Petrol,DL-9C,"₹2,41,000"
2021 Tata NEXON,XZ 1.2,Manual,"17,620 km",1st Owner,Petrol,DL-9C,"₹9,38,000"
2021 MAHINDRA XUV 3OO,1.2 W6 MT,Manual,"31,346 km",1st Owner,Petrol,DL-3C,"₹10,11,000"
2013 Honda City,S MT PETROL,Manual,"61,408 km",2nd Owner,Petrol,DL-4C,"₹4,49,000"
2018 Maruti Baleno,ALPHA PETROL 1.2,Manual,"20,599 km",2nd Owner,Petrol,HR-26,"₹6,23,000"
2019 Hyundai Elite i20,MAGNA PLUS 1.2,Manual,"33,238 km",1st Owner,Petrol,HR-26,"₹6,10,000"
2019 VOLKSWAGEN VENTO,1.2 TSI HIGHLINE PLUS AT,Automatic,"48,179 km",1st Owner,Petrol,HR-51,"₹8,50,000"
2014 HONDA CITY,SV MT PETROL,Manual,"62,994 km",1st Owner,Petrol,DL-1C,"₹5,42,000"
2015 Hyundai Elite i20,ASTA 1.2,Manual,"62,683 km",1st Owner,Petrol,DL-12,"₹5,72,000"
2019 HYUNDAI VENUE,1.0 TURBO GDI SX+ AT,Automatic,"57,801 km",1st Owner,Petrol,HR-76,"₹9,29,000"
2018 HYUNDAI CRETA,SX 1.6 DIESEL,Manual,"61,764 km",2nd Owner,Diesel,DL-5C,"₹9,93,000"
2019 Volkswagen Ameo,HIGHLINE PLUS DSG 1.5,Automatic,"59,657 km",1st Owner,Diesel,DL-8C,"₹7,59,000"
2018 VOLKSWAGEN TIGUAN,HIGHLINE A/T,Automatic,"68,377 km",1st Owner,Diesel,DL-1C,"₹19,96,000"
2018 HONDA AMAZE,1.5 VXMT I DTEC,Manual,"52,767 km",1st Owner,Diesel,DL-10,"₹6,45,000"
2022 Hyundai NEW I20 N LINE,N8 1.0 TURBO GDI DCT,Automatic,"14,958 km",1st Owner,Petrol,HR-14,"₹11,44,000"
2020 Maruti Swift,LXI,Manual,"11,175 km",1st Owner,Petrol,DL-3C,"₹5,91,000"
2018 Volkswagen Polo,COMFORTLINE 1.0 PETROL,Manual,"27,132 km",1st Owner,Petrol,DL-10,"₹6,62,000"
2017 Hyundai Verna,1.6 SX VTVT AT (O),Automatic,"42,423 km",1st Owner,Petrol,DL-12,"₹9,33,000"
2019 Maruti Swift,LXI,Manual,"14,058 km",1st Owner,Petrol,DL-2C,"₹5,62,000"
2021 Mahindra Thar,LX D 4*4 MT HT,Manual,"16,749 km",2nd Owner,Diesel,HR-24,"₹15,00,000"
2018 Maruti ALTO 800,LXI,Manual,"27,997 km",2nd Owner,Petrol,HR-36,"₹3,36,000"
2017 HYUNDAI GRAND I10,Sportz1.2 CRDI,Manual,"68,845 km",1st Owner,Diesel,UP-83,"₹5,00,000"
2014 Toyota Etios,G SP,Manual,"78,652 km",1st Owner,Petrol,HR-29,"₹3,61,000"
2020 Maruti SWIFT,LXI,Manual,"51,768 km",1st Owner,Petrol,DL-1C,"₹5,46,000"
2022 MAHINDRA XUV 3OO,1.2 W6 AT,Automatic,"6,970 km",1st Owner,Petrol,DL-12,"₹11,22,000"
2018 VOLKSWAGEN TIGUAN,HIGHLINE A/T,Automatic,"75,468 km",1st Owner,Diesel,DL-1C,"₹18,65,000"
2021 Hyundai NEW I20,SPORTZ 1.0T GDI IMT,Manual,"15,840 km",1st Owner,Petrol,UP-14,"₹7,93,000"
2018 Honda WR-V,1.2 i-VTEC S MT,Manual,"50,925 km",1st Owner,Petrol,UP-53,"₹6,42,000"
2014 Maruti SWIFT,ZXI,Manual,"48,929 km",1st Owner,Petrol,DL-3C,"₹4,58,000"
2017 Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,"30,183 km",1st Owner,Petrol,DL-8C,"₹4,65,000"
2022 Maruti BREZZA,ZXI + AT SMART HYBRID,,"9,124 km",1st Owner,Petrol,UP-14,"₹12,95,000"
2020 TOYOTA YARIS,G MT,Manual,"44,145 km",1st Owner,Petrol,DL-1C,"₹8,47,000"
2018 Maruti Dzire,VDI,Manual,"85,262 km",1st Owner,Diesel,DL-12,"₹5,85,000"
2018 Maruti DZIRE,ZDI Plus AMT,Automatic,"82,887 km",1st Owner,Diesel,DL-6C,"₹6,25,000"
2019 Hyundai Creta,SX AT 1.6 PETROL,Automatic,"26,003 km",2nd Owner,Petrol,HR-26,"₹12,20,000"
2015 Toyota Camry,2.5 AT,Automatic,"93,626 km",1st Owner,Petrol,HR-26,"₹11,96,000"
2021 Maruti Swift,LXI,Manual,"29,670 km",1st Owner,Petrol,HR-29,"₹5,68,000"
2021 Mahindra Thar,LX D 4*4 MT HT,Manual,"41,433 km",1st Owner,Diesel,HR-54,"₹14,84,250"
2019 HYUNDAI NEW SANTRO,ASTA 1.1 MT,Manual,"41,819 km",1st Owner,Petrol,DL-5C,"₹4,56,000"
